Date,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-10-25,GSW,W (+5),1,,10,16,0.00625,0,1,0.0,5,6,0.008329999999999999,4,8,12,3,1,4,2,2,25
2024-10-27,SAC,L (-3),1,,8,15,0.0053300000000000005,1,2,0.005,4,5,0.008,3,9,12,4,2,3,3,4,21
2024-10-30,POR,W (+12),1,,7,12,0.005829999999999999,0,0,0.0,6,7,0.00857,2,7,9,5,0,2,1,1,20
2024-11-02,PHO,W (+8),1,,11,18,0.00611,0,0,0.0,7,8,0.00875,5,10,15,6,1,5,2,3,29
2024-11-05,HOU,L (-6),1,,6,13,0.00462,0,2,0.0,4,6,0.006670000000000001,1,6,7,2,0,4,4,5,16
2024-11-08,DEN,W (+4),1,,9,17,0.00529,1,3,0.00333,8,9,0.00889,4,11,15,3,2,6,1,2,27
2024-11-11,MEM,L (-9),1,,5,14,0.00357,0,1,0.0,7,8,0.00875,2,6,8,4,1,3,3,6,17
2024-11-14,LAC,W (+7),1,,12,19,0.00632,0,0,0.0,3,4,0.0075,6,9,15,5,3,2,2,3,27
2024-11-17,NOP,W (+10),1,,8,13,0.00615,0,0,0.0,5,6,0.008329999999999999,3,8,11,7,1,4,1,2,21
2024-11-20,UTA,L (-2),1,,13,21,0.00619,0,1,0.0,5,7,0.00714,7,10,17,4,0,5,3,4,31
2024-11-23,OKC,W (+11),1,,7,11,0.00636,0,0,0.0,4,5,0.008,2,7,9,3,2,3,2,1,18
2024-11-25,MIL,L (-5),1,,10,18,0.005560000000000001,1,2,0.005,6,7,0.00857,4,9,13,5,1,4,4,5,27
2024-11-28,PHI,W (+3),1,,9,16,0.00563,0,1,0.0,8,10,0.008,5,8,13,6,2,3,2,3,26
2024-12-01,BOS,L (-7),1,,6,15,0.004,0,2,0.0,5,6,0.008329999999999999,2,6,8,2,0,2,5,6,17
2024-12-04,TOR,W (+14),1,,11,17,0.00647,0,0,0.0,3,4,0.0075,6,7,13,4,1,5,1,2,25
2024-12-07,CHI,W (+9),1,,8,14,0.00571,0,0,0.0,7,8,0.00875,3,9,12,3,3,4,2,3,23
2024-12-10,DET,L (-4),1,,14,22,0.00636,0,1,0.0,5,7,0.00714,8,9,17,5,0,6,3,4,33
2024-12-13,CLE,W (+6),1,,7,12,0.005829999999999999,0,0,0.0,6,7,0.00857,2,8,10,4,2,3,1,1,20
2024-12-16,MIN,L (-1),1,,12,20,0.006,0,1,0.0,9,11,0.00818,7,11,18,7,1,5,4,5,33
2024-12-19,ATL,W (+8),1,,9,15,0.006,0,0,0.0,4,5,0.008,4,7,11,5,2,4,2,3,22
2025-01-15,PHI,W (+7),1,,10,17,0.00588,1,3,0.00333,5,6,0.008329999999999999,4,8,12,5,1,4,2,3,26
2025-01-18,MIL,L (-4),1,,12,21,0.00571,0,1,0.0,7,9,0.0077800000000000005,5,10,15,4,0,3,3,5,31
2025-04-10,GSW,W (+11),1,,9,15,0.006,0,1,0.0,8,10,0.008,3,9,12,6,2,5,1,2,26
2025-04-13,SAC,L (-2),1,,11,19,0.00579,0,0,0.0,5,6,0.008329999999999999,4,7,11,3,1,2,2,4,27
