Date,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-10-25,ORL,W (+9),1,,7,13,0.00538,3,6,0.005,2,2,0.01,1,5,6,2,1,4,2,4,19
2024-10-28,NYK,L (-3),1,,5,11,0.00455,2,5,0.004,1,2,0.005,0,4,4,1,0,3,3,5,13
2024-10-31,BOS,W (+5),1,,8,15,0.0053300000000000005,4,7,0.00571,3,4,0.0075,2,6,8,3,2,5,1,3,23
2024-11-03,MIA,L (-7),1,,6,14,0.0042899999999999995,1,6,0.00167,4,5,0.008,1,5,6,2,1,2,2,4,17
2024-11-06,CHA,W (+15),1,,9,13,0.006919999999999999,5,8,0.00625,2,2,0.01,3,4,7,4,0,3,0,2,25
2024-11-09,IND,L (-4),1,,7,16,0.00438,2,7,0.0028599999999999997,5,6,0.008329999999999999,1,7,8,2,1,4,3,5,21
2024-11-12,WAS,W (+12),1,,6,10,0.006,3,5,0.006,4,5,0.008,0,5,5,5,3,2,1,1,19
2024-11-15,CLE,L (-2),1,,10,18,0.005560000000000001,4,9,0.00444,3,4,0.0075,2,6,8,3,0,5,2,4,27
2024-11-18,MIL,W (+6),1,,5,12,0.00417,2,6,0.00333,6,7,0.00857,1,5,6,4,2,3,3,3,18
2024-11-21,CHI,L (-9),1,,4,11,0.00364,1,5,0.002,3,4,0.0075,0,3,3,1,0,1,4,6,12
2024-11-24,PHI,W (+3),1,,9,17,0.00529,5,10,0.005,4,5,0.008,3,5,8,2,1,4,1,3,27
2024-11-27,ATL,L (-5),1,,7,14,0.005,3,7,0.0042899999999999995,2,2,0.01,1,4,5,3,0,2,2,4,19
2024-11-30,TOR,W (+8),1,,8,13,0.00615,4,7,0.00571,1,1,0.01,2,6,8,6,2,3,2,2,21
2024-12-03,DET,W (+14),1,,6,9,0.006670000000000001,3,5,0.006,3,4,0.0075,0,4,4,2,1,1,0,1,18
2024-12-06,BKN,L (-6),1,,11,20,0.0055000000000000005,6,11,0.00545,2,3,0.006670000000000001,2,7,9,3,0,5,3,5,30
2024-12-09,LAL,W (+4),1,,7,15,0.0046700000000000005,2,6,0.00333,5,6,0.008329999999999999,1,6,7,4,1,4,2,3,21
2024-12-12,DAL,L (-3),1,,5,13,0.00385,1,5,0.002,4,4,0.01,0,5,5,2,2,2,4,6,15
2024-12-15,SAS,W (+7),1,,10,16,0.00625,4,8,0.005,3,4,0.0075,3,5,8,5,1,6,1,2,27
2024-12-18,HOU,L (-1),1,,12,21,0.00571,5,10,0.005,2,2,0.01,4,8,12,3,0,3,2,4,31
2024-12-21,LAC,W (+5),1,,8,14,0.00571,3,6,0.005,4,5,0.008,1,6,7,4,2,4,1,3,23
2025-01-10,DAL,W (+6),1,,8,14,0.00571,4,7,0.00571,3,4,0.0075,1,5,6,3,1,4,1,3,23
2025-01-13,HOU,L (-8),1,,5,12,0.00417,2,6,0.00333,4,5,0.008,0,4,4,2,0,3,3,5,16
2025-04-12,NOP,W (+9),1,,10,16,0.00625,5,9,0.005560000000000001,2,2,0.01,2,7,9,4,1,6,1,2,27
2025-04-15,MIN,L (-5),1,,7,15,0.0046700000000000005,3,8,0.00375,6,7,0.00857,1,6,7,5,2,3,2,4,23
