Date,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-10-25,DAL,L (-8),1,,5,12,0.00417,1,4,0.0025,2,2,0.01,1,7,8,2,1,3,2,3,13
2024-10-27,PHO,L (-5),1,,6,14,0.0042899999999999995,2,5,0.004,3,4,0.0075,0,5,5,4,0,2,1,2,17
2024-10-30,SAC,W (+11),1,,8,17,0.00471,3,7,0.0042899999999999995,4,5,0.008,2,9,11,3,2,4,3,4,23
2024-11-02,LAL,W (+3),1,,10,21,0.0047599999999999995,2,6,0.00333,5,6,0.008329999999999999,3,8,11,5,1,5,2,3,27
2024-11-05,GSW,L (-7),1,,7,15,0.0046700000000000005,1,4,0.0025,6,7,0.00857,1,6,7,3,0,3,4,5,21
2024-11-08,MEM,W (+14),1,,9,16,0.00563,3,5,0.006,2,2,0.01,2,10,12,6,2,2,1,2,23
2024-11-11,LAC,L (-2),1,,11,23,0.0047799999999999995,2,8,0.0025,7,8,0.00875,4,9,13,4,1,4,3,4,31
2024-11-14,DEN,W (+6),1,,8,18,0.00444,1,5,0.002,5,6,0.008329999999999999,3,7,10,7,3,3,2,3,22
2024-11-17,UTA,W (+9),1,,6,11,0.00545,2,4,0.005,3,4,0.0075,1,5,6,2,0,2,1,1,17
2024-11-20,OKC,L (-12),1,,5,14,0.00357,1,6,0.00167,4,4,0.01,2,6,8,3,1,1,5,5,15
2024-11-23,MIN,W (+5),1,,12,20,0.006,4,8,0.005,3,4,0.0075,3,11,14,5,2,6,2,4,31
2024-11-25,NOP,L (-3),1,,9,19,0.004739999999999999,3,7,0.0042899999999999995,2,2,0.01,1,7,8,4,1,3,3,3,23
2024-11-28,PHI,W (+10),1,,7,13,0.00538,0,2,0.0,8,9,0.00889,2,8,10,3,0,5,1,2,22
2024-12-01,MIL,L (-9),1,,6,16,0.00375,1,5,0.002,5,6,0.008329999999999999,0,5,5,2,2,2,4,6,18
2024-12-04,BOS,W (+7),1,,10,17,0.00588,2,4,0.005,4,5,0.008,4,9,13,6,1,4,2,3,26
2024-12-07,TOR,W (+12),1,,8,12,0.006670000000000001,3,5,0.006,2,2,0.01,1,6,7,3,3,3,1,1,21
2024-12-10,CHI,L (-6),1,,13,25,0.0052,4,9,0.00444,3,4,0.0075,5,10,15,4,0,2,5,5,33
2024-12-13,ATL,W (+4),1,,9,18,0.005,2,6,0.00333,7,8,0.00875,3,8,11,5,2,5,3,4,27
2024-12-16,MIA,L (-1),1,,11,22,0.005,3,8,0.00375,4,5,0.008,2,9,11,3,1,4,2,3,29
2024-12-19,ORL,W (+8),1,,7,14,0.005,1,3,0.00333,6,7,0.00857,1,7,8,4,2,3,1,2,21
2025-02-12,UTA,W (+9),1,,6,11,0.00545,2,4,0.005,3,4,0.0075,1,5,6,2,0,2,1,1,17
2025-02-14,OKC,L (-12),1,,5,14,0.00357,1,6,0.00167,4,4,0.01,2,6,8,3,1,1,5,5,15
