Date,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-10-25,GSW,W (+5),1,37:22,10,16,0.625,0,1,0.000,5,6,0.833,4,8,12,3,1,4,2,2,25
2024-10-27,SAC,L (-3),1,35:10,8,15,0.533,1,2,0.500,4,5,0.800,3,9,12,4,2,3,3,4,21
2024-10-30,POR,W (+12),1,32:45,7,12,0.583,0,0,,6,7,0.857,2,7,9,5,0,2,1,1,20
2024-11-02,PHO,W (+8),1,38:30,11,18,0.611,0,0,,7,8,0.875,5,10,15,6,1,5,2,3,29
2024-11-05,HOU,L (-6),1,34:15,6,13,0.462,0,2,0.000,4,6,0.667,1,6,7,2,0,4,4,5,16
2024-11-08,DEN,W (+4),1,39:10,9,17,0.529,1,3,0.333,8,9,0.889,4,11,15,3,2,6,1,2,27
2024-11-11,MEM,L (-9),1,33:45,5,14,0.357,0,1,0.000,7,8,0.875,2,6,8,4,1,3,3,6,17
2024-11-14,LAC,W (+7),1,36:20,12,19,0.632,0,0,,3,4,0.750,6,9,15,5,3,2,2,3,27
2024-11-17,NOP,W (+10),1,35:55,8,13,0.615,0,0,,5,6,0.833,3,8,11,7,1,4,1,2,21
2024-11-20,UTA,L (-2),1,40:30,13,21,0.619,0,1,0.000,5,7,0.714,7,10,17,4,0,5,3,4,31
2024-11-23,OKC,W (+11),1,32:10,7,11,0.636,0,0,,4,5,0.800,2,7,9,3,2,3,2,1,18
2024-11-25,MIL,L (-5),1,38:45,10,18,0.556,1,2,0.500,6,7,0.857,4,9,13,5,1,4,4,5,27
2024-11-28,PHI,W (+3),1,37:15,9,16,0.563,0,1,0.000,8,10,0.800,5,8,13,6,2,3,2,3,26
2024-12-01,BOS,L (-7),1,34:50,6,15,0.400,0,2,0.000,5,6,0.833,2,6,8,2,0,2,5,6,17
2024-12-04,TOR,W (+14),1,31:25,11,17,0.647,0,0,,3,4,0.750,6,7,13,4,1,5,1,2,25
2024-12-07,CHI,W (+9),1,33:40,8,14,0.571,0,0,,7,8,0.875,3,9,12,3,3,4,2,3,23
2024-12-10,DET,L (-4),1,39:55,14,22,0.636,0,1,0.000,5,7,0.714,8,9,17,5,0,6,3,4,33
2024-12-13,CLE,W (+6),1,36:30,7,12,0.583,0,0,,6,7,0.857,2,8,10,4,2,3,1,1,20
2024-12-16,MIN,L (-1),1,42:15,12,20,0.600,0,1,0.000,9,11,0.818,7,11,18,7,1,5,4,5,33
2024-12-19,ATL,W (+8),1,35:05,9,15,0.600,0,0,,4,5,0.800,4,7,11,5,2,4,2,3,22
2025-01-15,PHI,W (+7),1,36:45,10,17,0.588,1,3,0.333,5,6,0.833,4,8,12,5,1,4,2,3,26
2025-01-18,MIL,L (-4),1,38:20,12,21,0.571,0,1,0.000,7,9,0.778,5,10,15,4,0,3,3,5,31
2025-04-10,GSW,W (+11),1,35:10,9,15,0.600,0,1,0.000,8,10,0.800,3,9,12,6,2,5,1,2,26
2025-04-13,SAC,L (-2),1,37:55,11,19,0.579,0,0,,5,6,0.833,4,7,11,3,1,2,2,4,27
