Date,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-10-25,ORL,W (+9),1,31:45,7,13,0.538,3,6,0.500,2,2,1.000,1,5,6,2,1,4,2,4,19
2024-10-28,NYK,L (-3),1,29:30,5,11,0.455,2,5,0.400,1,2,0.500,0,4,4,1,0,3,3,5,13
2024-10-31,BOS,W (+5),1,33:15,8,15,0.533,4,7,0.571,3,4,0.750,2,6,8,3,2,5,1,3,23
2024-11-03,MIA,L (-7),1,32:50,6,14,0.429,1,6,0.167,4,5,0.800,1,5,6,2,1,2,2,4,17
2024-11-06,CHA,W (+15),1,28:40,9,13,0.692,5,8,0.625,2,2,1.000,3,4,7,4,0,3,0,2,25
2024-11-09,IND,L (-4),1,35:20,7,16,0.438,2,7,0.286,5,6,0.833,1,7,8,2,1,4,3,5,21
2024-11-12,WAS,W (+12),1,31:55,6,10,0.600,3,5,0.600,4,5,0.800,0,5,5,5,3,2,1,1,19
2024-11-15,CLE,L (-2),1,37:10,10,18,0.556,4,9,0.444,3,4,0.750,2,6,8,3,0,5,2,4,27
2024-11-18,MIL,W (+6),1,34:45,5,12,0.417,2,6,0.333,6,7,0.857,1,5,6,4,2,3,3,3,18
2024-11-21,CHI,L (-9),1,30:15,4,11,0.364,1,5,0.200,3,4,0.750,0,3,3,1,0,1,4,6,12
2024-11-24,PHI,W (+3),1,36:30,9,17,0.529,5,10,0.500,4,5,0.800,3,5,8,2,1,4,1,3,27
2024-11-27,ATL,L (-5),1,33:50,7,14,0.500,3,7,0.429,2,2,1.000,1,4,5,3,0,2,2,4,19
2024-11-30,TOR,W (+8),1,32:25,8,13,0.615,4,7,0.571,1,1,1.000,2,6,8,6,2,3,2,2,21
2024-12-03,DET,W (+14),1,29:10,6,9,0.667,3,5,0.600,3,4,0.750,0,4,4,2,1,1,0,1,18
2024-12-06,BKN,L (-6),1,38:15,11,20,0.550,6,11,0.545,2,3,0.667,2,7,9,3,0,5,3,5,30
2024-12-09,LAL,W (+4),1,35:40,7,15,0.467,2,6,0.333,5,6,0.833,1,6,7,4,1,4,2,3,21
2024-12-12,DAL,L (-3),1,34:55,5,13,0.385,1,5,0.200,4,4,1.000,0,5,5,2,2,2,4,6,15
2024-12-15,SAS,W (+7),1,37:20,10,16,0.625,4,8,0.500,3,4,0.750,3,5,8,5,1,6,1,2,27
2024-12-18,HOU,L (-1),1,40:30,12,21,0.571,5,10,0.500,2,2,1.000,4,8,12,3,0,3,2,4,31
2024-12-21,LAC,W (+5),1,33:15,8,14,0.571,3,6,0.500,4,5,0.800,1,6,7,4,2,4,1,3,23
2025-01-10,DAL,W (+6),1,34:20,8,14,0.571,4,7,0.571,3,4,0.750,1,5,6,3,1,4,1,3,23
2025-01-13,HOU,L (-8),1,32:45,5,12,0.417,2,6,0.333,4,5,0.800,0,4,4,2,0,3,3,5,16
2025-04-12,NOP,W (+9),1,36:10,10,16,0.625,5,9,0.556,2,2,1.000,2,7,9,4,1,6,1,2,27
2025-04-15,MIN,L (-5),1,38:30,7,15,0.467,3,8,0.375,6,7,0.857,1,6,7,5,2,3,2,4,23
